Id,1stFlrSF,GrLivArea,SalePrice
1306,1652,1652,325000
1307,1368,1368,202500
1308,990,990,138000
1309,1122,1122,147000
1310,1294,1294,179200
1311,1902,1902,335000
1312,1274,1274,203000
1313,1453,2810,302000
1314,1422,2599,333168
1315,948,948,119000
1316,1092,2112,206900
1317,1630,1630,295493
1318,1352,1352,208900
1319,1787,1787,275000
1320,948,948,111000
1321,1478,1478,156500
1322,720,720,72500
1323,1061,1923,190000
1324,708,708,82500
1325,1795,1795,147000
1326,796,796,55000
1327,774,774,79000
1328,816,816,130500
1329,1584,2792,256000
1330,955,1632,176500
1331,1588,1588,227000
1332,954,954,132500
1333,816,816,100000
1334,803,1360,125500
1335,765,1365,125000
1336,1334,1334,167900
1337,1656,1656,135000
1338,693,693,52500
1339,920,1861,200000
1340,864,864,128500
1341,872,872,123000
1342,1114,1114,155000
1343,1284,2169,228500
1344,1172,1913,177000
1345,728,1456,155835
1346,960,960,108500
1347,2156,2156,262500
1348,1776,1776,283463
1349,1494,1494,215000
1350,938,2358,122000
1351,1338,2634,200000
1352,858,1716,171000
1353,786,1176,134900
1354,2053,3238,410000
1355,992,1865,235000
1356,1222,1920,170000
1357,892,892,110000
1358,1078,1078,149900
1359,769,1573,177500
1360,1980,1980,315000
1361,990,2601,189000
1362,1530,1530,260000
1363,1281,1738,104900
1364,616,1412,156932
1365,520,1200,144152
1366,814,1674,216000
1367,882,1790,193000
1368,925,1475,127000
1369,848,848,144000
1370,1668,1668,232000
1371,840,1374,105000
1372,1661,1661,165500
1373,1108,2097,274300
1374,2633,2633,466500
1375,1026,1958,250000
1376,1571,1571,239000
1377,790,790,91000
1378,984,1604,117000
1379,483,987,83000
1380,754,1394,167500
1381,864,864,58500
1382,2117,2117,237500
1383,998,1762,157000
1384,1416,1416,112000
1385,698,1258,105000
1386,796,1154,125500
1387,1392,2784,250000
1388,1664,2526,136000
1389,1746,1746,377500
1390,869,1218,131000
1391,1525,1525,235000
1392,1584,1584,124000
1393,900,900,123000
1394,1221,1912,163000
1395,1500,1500,246578
1396,1133,2482,281213
1397,1687,1687,160000
1398,939,1513,137500
1399,1136,1904,138000
1400,1160,1608,137450
1401,950,1158,120000
1402,864,1593,193000
1403,1294,1294,193879
1404,1464,1464,282922
1405,694,1214,105000
1406,1646,1646,275000
1407,768,768,133000
1408,833,833,112000
1409,741,1363,125500
1410,1236,2093,215000
1411,944,1840,230000
1412,1112,1668,140000
1413,1040,1040,90000
1414,1844,1844,257000
1415,1053,1848,207000
1416,1569,1569,175900
1417,1246,2290,122500
1418,1310,2450,340000
1419,1144,1144,124000
1420,1844,1844,223000
1421,708,1416,179900
1422,1069,1069,127500
1423,848,848,136500
1424,1575,2201,274970
1425,1344,1344,144000
1426,1252,1252,142000
1427,1223,2127,271000
1428,1048,1558,140000
1429,804,804,119000
1430,1440,1440,182900
1431,734,1838,192140
1432,958,958,143750
1433,968,968,64500
1434,962,1792,186500
1435,1126,1126,160000
1436,1537,1537,174000
1437,864,864,120500
1438,1932,1932,394617
1439,1236,1236,149700
1440,1040,1725,197000
1441,1423,2555,191000
1442,848,848,149300
1443,1026,2007,310000
1444,952,952,121000
1445,1422,1422,179600
1446,913,913,129000
1447,1188,1188,157900
1448,1220,2090,240000
1449,796,1346,112000
1450,630,630,92000
1451,896,1792,136000
1452,1578,1578,287090
1453,1072,1072,145000
1454,1140,1140,84500
1455,1221,1221,185000
1456,953,1647,175000
1457,2073,2073,210000
1458,1188,2340,266500
1459,1078,1078,142125
1460,1256,1256,147500
